id,word,type,abs_sg,obl_sg_stem,abs_pl,abs_pl_suffix,obl_pl_stem,abs_sg_cyr,obl_sg_stem_cyr,abs_pl_cyr,abs_pl_suffix_cyr,obl_pl_stem_cyr
76,ПЕТУШИНЫЙ ГРЕБЕНЬ,5,q'amu,q'amuo,q'amodu,l,q'amodoba,къаму,къамуо,къамоду,л,къамодоба
77,ГРИВА ЛОШАДИ,5,jal,jall,jal,il,jalili,йал,йалл,йал,ил,йалили
78,БОРОДА,4,migažu,migažuo,migažobi,l,migažoba,мигажу,мигажуо,мигажоби,л,мигажоба
78,БОРОДА,4,migažu,migažulo,migažobi,l,migažoba,мигажу,мигажуло,мигажоби,л,мигажоба
79,УС,5,miqi,miqilo,miqio,l,miqia,михъи,михъило,михъио,л,михъиа
80,ПЕРО,4,ɬiru,ɬirdo,ɬirdobi,l,ɬirdoba,лъиру,лъирдо,лъирдоби,л,лъирдоба
81,КРЫЛО,4,ɬiru,ɬirdo,ɬirdobi,l,ɬirdoba,лъиру,лъирдо,лъирдоби,л,лъирдоба
82,РОГ,5,ɢᵂon,ɢᵂonl,ɢᵂonibo,l,ɢᵂoniba,он,онл,онибо,л,ониба
84,"ЧИРЕЙ, НАРЫВ",5,c':akara,c':akaru,c':akardu,l,c':akarda,цІакара,цІакару,цІакарду,л,цІакарда
84,"ЧИРЕЙ, НАРЫВ",5,c':akara,c':akaru,c':akardu,l,c':akardoba,цІакара,цІакару,цІакарду,л,цІакардоба
85,РАНА,4,ruʁun,ruʁun,ruʁumo,l,ruʁuma,руун,руун,руумо,л,руума
86,"МЕТКА (на ухе овцы), ШРАМ",4,anži,anžu,anžibo,l,anžiba,анжи,анжу,анжибо,л,анжиба
87,МОЗГ ГОЛОВНОЙ,4,honu,honulo,,,,гьону,гьонуло,,,
87,МОЗГ ГОЛОВНОЙ,4,honu,honu,,,,гьону,гьону,,,
88,СПЕРМА,5,šen,šen,,,,шен,шен,,,
89,КРОВЬ,5,hin,hin,hin,il,hinili,гьин,гьин,гьин,ил,гьинили
90,ПОТ (потение),5,honnoχ:ir,honnoχ:ir,,,,гьонноир,гьонноир,,,
91,ГНОЙ,5,loχwo,loχwoo,,,,лово,ловоо,,,
93,"СЛЕЗА, СЛЕЗЫ (собир.)",4,moɢo,moɢu,moɢo,l,moɢoli,моо,моу,моо,л,мооли
94,СЛЮНА,5,toto,totu,toto,l,totoli,тото,тоту,тото,л,тотоли
95,СОПЛЯ,5,maču,mačuo,mačodu,l,mačoba,мачу,мачуо,мачоду,л,мачоба
95,СОПЛЯ,5,maču,mačuo,mačodu,l,mačoda,мачу,мачуо,мачоду,л,мачода
95,СОПЛЯ,5,maču,mačulo,mačodu,l,mačoba,мачу,мачуло,мачоду,л,мачоба
95,СОПЛЯ,5,maču,mačulo,mačodu,l,mačoda,мачу,мачуло,мачоду,л,мачода
96,КОЗЯВКА,5,ɢenɢe,ɢenɢelo,ɢenɢe,l,ɢenɢeli,ене,енело,ене,л,енели
97,ЖЕЛЧЬ,5,s:im,s:im,,,,ссим,ссим,,,
98,МОЧА,4,hink':ur,hink':ur,hink':urdu,l,hink':urda,гьинкІур,гьинкІур,гьинкІурду,л,гьинкІурда
98,МОЧА,4,hink':ur,hink':ur,hink':urdu,l,hink':urdoba,гьинкІур,гьинкІур,гьинкІурду,л,гьинкІурдоба
99,КАЛ,5,qᵂolo,qᵂololo,,,,хъволо,хъвололо,,,
100,КАЛ ЖИДКИЙ,4,riχ:ir,riχ:ir,riχ:irdu,l,riχ:irda,риир,риир,риирду,л,риирда
100,КАЛ ЖИДКИЙ,4,riχ:ir,riχ:ir,riχ:irdu,l,riχ:irdoba,риир,риир,риирду,л,риирдоба
101,ПОМЕТ ЖИВОТНЫХ,4,čil,čil,čil,il,čilili,чил,чил,чил,ил,чилили
101,"ПОМЕТ ЖИВОТНЫХ ( ~ овцы, лошади)",5,k'ik'im,k'ik'im,k'ik'im,ol,k'ik'ima,кІикІим,кІикІим,кІикІим,ол,кІикІима
101,ПОМЕТ ЖИВОТНЫХ ( ~ коровы),5,t'ebt'el,t'ebt'el,t'ebt'el,ol,t'ebt'ela,тІебтІел,тІебтІел,тІебтІел,ол,тІебтІела
102,ОТЕЦ,1,ima,imu,imobi,l,imobili,има,иму,имоби,л,имобили
102,ОТЕЦ (папа),1,dada,dada,,,,дада,дада,,,
103,МАТЬ,2,ila,ilu,ilobi,l,iloba,ила,илу,илоби,л,илоба
103,МАТЬ (мама),2,baba,baba,,,,баба,баба,,,
104,БРАТ,1,woc:i,woc:u,woc:,ul,woc:ulu,воцци,воццу,воцц,ул,воццулу
104,БРАТ ( ~ двоюродный),1,wacal,wacʔal,wacʔaladu,l,wacʔalada,вацал,вацал,вацаладу,л,вацалада
104,БРАТ ( ~ двоюродный),1,wacal,wacʔal,wacʔaladu,l,wacʔaladoba,вацал,вацал,вацаладу,л,вацаладоба
104,БРАТ ( ~ троюродный),1,c:inaʔal,c:inaʔal,c:inaʔaladu,l,c:inaʔalada,ццинаал,ццинаал,ццинааладу,л,ццинаалада
104,БРАТ ( ~ троюродный),1,c:inaʔal,c:inaʔal,c:inaʔaladu,l,c:inaʔaladoba,ццинаал,ццинаал,ццинааладу,л,ццинааладоба
105,СЕСТРА,2,joc:i,joc:u,joc:ibo,l,joc:iba,йоцци,йоццу,йоццибо,л,йоцциба
105,СЕСТРА ( ~ двоюродная),2,jacʔal,jacʔal,jacʔaladu,l,jacʔalada,йацал,йацал,йацаладу,л,йацалада
105,СЕСТРА ( ~ двоюродная),2,jacʔal,jacʔal,jacʔaladu,l,jacʔaladoba,йацал,йацал,йацаладу,л,йацаладоба
105,СЕСТРА ( ~ троюродная),2,c:inaʔal,c:inaʔal,c:inaʔaladu,l,c:inaʔalada,ццинаал,ццинаал,ццинааладу,л,ццинаалада
105,СЕСТРА ( ~ троюродная),2,c:inaʔal,c:inaʔal,c:inaʔaladu,l,c:inaʔaladoba,ццинаал,ццинаал,ццинааладу,л,ццинааладоба
106,СЫН,1,wošo,wošu,woš,ul,wošulu,вошо,вошу,вош,ул,вошулу
107,ДОЧЬ,2,joši,jošu,jošibo,l,jošiba,йоши,йошу,йошибо,л,йошиба
108,ВНУК (сына сын),1,wošuw-wošo,wošuw-wošu,wošuw-woš,ul,wošuw-wošulu,вошуввошо,вошуввошу,вошуввош,ул,вошуввошулу
108,ВНУК (дочери сын),1,jošuƛi-wošo,jošuƛi-wošu,jošuƛi-woš,ul,jošuƛi-wošulu,йошуивошо,йошуивошу,йошуивош,ул,йошуивошулу
